Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments
Post_210,TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291
Post_213,Twitter,#Comedy,Tweet,Japan,4336145,295452,2342,22411
Post_215,Twitter,#Gaming,Tweet,Japan,1516746,272088,48475,36816
Post_217,YouTube,#Dance,Live Stream,UK,1200639,381211,2574,40242
Post_219,Twitter,#Dance,Tweet,India,89968,450376,40577,19844
Post_222,Instagram,#Music,Reel,UK,4422912,199110,95413,32057
Post_223,Instagram,#Tech,Post,UK,4326885,300734,1870,1496
Post_224,YouTube,#Music,Live Stream,Germany,4732360,84552,21664,36363
Post_225,YouTube,#Gaming,Video,Japan,2510808,348707,17968,46925
Post_228,YouTube,#Gaming,Live Stream,UK,940184,131729,1559,12135
Post_236,Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765
Post_240,Twitter,#Gaming,Video,Japan,2551247,384714,36284,18974
Post_244,TikTok,#Dance,Video,Canada,1556267,56055,12612,20474
Post_247,TikTok,#Fashion,Video,Canada,3290858,250085,41283,20251
Post_255,TikTok,#Fitness,Video,Japan,3714148,291659,27722,28024
Post_256,Twitter,#Challenge,Tweet,USA,2276898,337038,56049,13735
Post_258,Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466
Post_263,YouTube,#Fitness,Video,Canada,2714016,86422,85827,36320
Post_273,Instagram,#Viral,Reel,Canada,4675636,328475,4510,45120
Post_274,YouTube,#Tech,Live Stream,UK,1093553,43035,52724,29091
Post_275,Twitter,#Music,Tweet,Australia,2860355,157614,70326,47778
Post_276,Twitter,#Fitness,Video,USA,4643597,200851,87149,35230
Post_282,Twitter,#Gaming,Tweet,India,791211,251591,9900,36509
Post_285,Twitter,#Fashion,Tweet,Germany,3275624,455318,72364,39134
Post_287,Twitter,#Music,Tweet,Japan,694970,180020,88660,5645
Post_293,Twitter,#Comedy,Tweet,USA,424447,50456,76836,13951
Post_295,Instagram,#Tech,Reel,Canada,70424,392371,44740,10705
Post_296,TikTok,#Fitness,Live Stream,India,4820393,44861,86973,46410
Post_298,Instagram,#Comedy,Reel,Germany,1853392,232747,87334,27858
Post_300,TikTok,#Education,Video,Brazil,4412697,108323,25130,6295
Post_301,Instagram,#Education,Live Stream,Brazil,340950,127995,30856,14353
Post_303,Twitter,#Dance,Tweet,Japan,394485,373829,36151,12167
Post_306,Twitter,#Comedy,Video,Brazil,1359747,471796,85070,14073
Post_309,Instagram,#Challenge,Post,UK,543708,19494,13359,8753
Post_318,Twitter,#Fitness,Video,UK,4719001,143216,93614,38476
Post_320,Twitter,#Fashion,Tweet,India,2298278,202870,25710,3153
Post_323,Twitter,#Gaming,Tweet,Germany,2517906,254149,3970,17586
Post_326,TikTok,#Fitness,Video,USA,2580238,118495,10621,34440
Post_327,TikTok,#Comedy,Live Stream,Japan,1094116,301730,23651,29582
Post_333,TikTok,#Tech,Live Stream,Japan,4297874,462449,15517,44021
Post_340,Twitter,#Fashion,Tweet,Canada,3806052,336179,69578,32549
Post_345,Instagram,#Music,Reel,Australia,423362,110690,51877,22816
Post_353,TikTok,#Comedy,Video,UK,377149,207589,13408,15058
Post_354,YouTube,#Tech,Live Stream,USA,2711504,428947,52195,4775
Post_355,YouTube,#Challenge,Live Stream,Australia,429918,121461,7858,29359
Post_356,YouTube,#Gaming,Live Stream,Germany,4023574,127139,4948,42147
Post_359,Instagram,#Tech,Post,Brazil,3573199,332761,15013,41115
Post_362,TikTok,#Education,Live Stream,Germany,147632,19332,644,49459
Post_363,Instagram,#Challenge,Post,Japan,258238,465551,15136,48715
Post_364,TikTok,#Dance,Video,Germany,4133077,402734,72073,18629
Post_367,Instagram,#Education,Live Stream,UK,464742,267582,36900,25379
Post_368,TikTok,#Fitness,Video,Germany,2014353,461968,86514,36689
Post_378,Twitter,#Education,Tweet,Canada,2511011,219874,52071,723
Post_388,Instagram,#Tech,Post,Japan,665740,389852,99285,3432
Post_393,Twitter,#Viral,Tweet,Brazil,1513659,130934,94962,3519
Post_396,Instagram,#Fashion,Live Stream,Canada,4151557,244562,87770,44396
Post_403,Instagram,#Challenge,Live Stream,Australia,901819,73906,1462,12876
Post_404,Instagram,#Education,Live Stream,UK,1924813,188326,41895,37760
Post_405,Twitter,#Fitness,Tweet,Germany,1779685,337898,22528,24827
Post_406,Instagram,#Education,Live Stream,Canada,166638,52495,86474,5523
Post_407,Twitter,#Education,Video,USA,4952299,149289,67652,13777
Post_409,YouTube,#Education,Video,Brazil,4687224,1635,16037,48614
Post_411,Twitter,#Music,Tweet,Canada,253934,269239,27213,864
Post_414,TikTok,#Music,Live Stream,UK,3739590,227858,13222,41021
Post_415,YouTube,#Music,Video,UK,2520922,74513,3987,22252
Post_416,Twitter,#Music,Tweet,India,17826,347482,13497,25800
Post_417,Twitter,#Education,Tweet,UK,2717191,301070,32071,43935
Post_419,Instagram,#Education,Post,Brazil,446706,4264,75452,14816
Post_420,Instagram,#Fitness,Live Stream,UK,951304,342048,65047,35490
Post_421,Twitter,#Gaming,Tweet,UK,1181477,224611,22199,39231
Post_424,Instagram,#Challenge,Live Stream,Canada,3592674,160629,8445,9171
Post_428,Twitter,#Viral,Video,Germany,1375455,425083,93721,18977
Post_431,Twitter,#Gaming,Video,India,40081,388209,72017,26138
Post_436,YouTube,#Comedy,Live Stream,Australia,3112756,321532,88462,11421
Post_439,Twitter,#Comedy,Tweet,Canada,1263815,1401,29795,76
Post_440,TikTok,#Fashion,Video,Canada,2815018,235401,12601,10518
Post_447,Instagram,#Gaming,Live Stream,India,3335657,417475,40236,4254
Post_456,YouTube,#Music,Video,Germany,251467,155816,10165,11156
Post_461,TikTok,#Viral,Video,UK,4574441,361896,98169,26574
Post_462,Twitter,#Education,Video,Australia,4352106,308840,2844,35294
Post_464,Instagram,#Challenge,Live Stream,UK,2167670,198784,96952,26902
Post_466,Instagram,#Fashion,Post,UK,4398342,308054,29831,3366
Post_467,Twitter,#Fitness,Tweet,Australia,3684089,213042,71881,21008
Post_470,Instagram,#Viral,Live Stream,UK,275149,149844,9065,35899
Post_473,TikTok,#Viral,Live Stream,Japan,3501632,326063,24819,11649
Post_475,Instagram,#Challenge,Live Stream,USA,1137375,118437,23946,24358
Post_476,YouTube,#Education,Live Stream,Germany,2623136,134723,43056,37987
Post_477,YouTube,#Fitness,Live Stream,India,4473535,329945,58746,11543
Post_482,TikTok,#Dance,Video,UK,3099164,427255,17081,23481
Post_483,Instagram,#Tech,Live Stream,UK,2682414,401508,59012,3275
Post_485,TikTok,#Music,Video,Japan,4174438,141088,4035,3107
Post_486,YouTube,#Tech,Live Stream,USA,4086758,100333,31439,21971
Post_488,Instagram,#Dance,Post,USA,4533957,278567,60593,12923
Post_491,TikTok,#Tech,Video,UK,3754208,320167,58134,21693
Post_493,TikTok,#Viral,Video,Germany,2627566,173288,8666,35026
Post_501,Instagram,#Dance,Reel,UK,1576695,223136,3427,44738
Post_503,Instagram,#Fashion,Live Stream,Canada,3419646,34941,95591,9327
Post_505,YouTube,#Fashion,Video,Canada,2449590,214679,15511,10183
Post_510,YouTube,#Tech,Live Stream,USA,2335723,364476,67740,24847
Post_511,Twitter,#Comedy,Video,Japan,56202,360896,25987,14628
Post_513,Instagram,#Viral,Live Stream,USA,3237254,173375,36718,42896
Post_514,Instagram,#Dance,Post,USA,4197833,175063,73833,25225
Post_515,Instagram,#Education,Post,Germany,514956,250127,90852,5413
Post_520,YouTube,#Fashion,Live Stream,Canada,413996,302157,49992,24906
Post_523,YouTube,#Education,Live Stream,Brazil,3306131,38806,68565,36981
Post_526,YouTube,#Challenge,Video,Germany,1769189,189560,31847,26317
Post_527,TikTok,#Tech,Video,USA,309064,499745,31698,23489
Post_532,YouTube,#Comedy,Live Stream,USA,2449452,486556,43076,27405
Post_534,TikTok,#Comedy,Live Stream,UK,2052067,191445,84877,28974
Post_536,YouTube,#Challenge,Video,Brazil,2368362,300651,67181,25054
Post_541,Twitter,#Comedy,Video,Australia,1933738,115168,96016,41321
Post_542,TikTok,#Dance,Video,UK,4909664,32328,44030,40462
Post_543,Twitter,#Education,Video,Brazil,4022545,173474,36619,23322
Post_544,Instagram,#Comedy,Post,Brazil,4117289,476795,23810,7602
Post_546,Instagram,#Fitness,Live Stream,USA,2359516,394171,34790,26112
Post_547,Instagram,#Viral,Post,Japan,3647993,361442,26848,22650
Post_548,YouTube,#Tech,Live Stream,India,3520520,205027,91912,23644
Post_549,YouTube,#Viral,Video,Japan,333545,498977,52685,24137
Post_550,YouTube,#Gaming,Video,USA,3230981,43250,25450,38132
Post_551,Instagram,#Challenge,Live Stream,UK,4902801,457202,95950,35485
Post_553,TikTok,#Fitness,Video,UK,4489295,37622,68224,46460
Post_556,YouTube,#Fitness,Video,Australia,348322,346558,13640,22532
Post_557,Instagram,#Fitness,Post,Germany,129205,493844,93705,39629
Post_558,YouTube,#Tech,Video,USA,4402616,162946,44597,39590
Post_561,TikTok,#Fitness,Video,Canada,1568096,365320,56390,19992
Post_562,YouTube,#Gaming,Video,Canada,147145,283273,38125,30094
Post_563,TikTok,#Viral,Video,Australia,2732458,330425,27066,37518
Post_571,Instagram,#Fashion,Live Stream,Germany,1211898,301141,73729,34908
Post_573,TikTok,#Dance,Video,Canada,885342,214451,28768,31466
Post_574,YouTube,#Gaming,Video,Canada,3620989,185166,73884,46247
Post_575,Instagram,#Dance,Reel,Canada,4694304,15155,48834,46703
Post_576,TikTok,#Fashion,Live Stream,Australia,4298867,233439,92096,20234
Post_578,Instagram,#Fashion,Post,Canada,2126836,135067,2582,34647
Post_579,YouTube,#Challenge,Live Stream,Canada,4411840,488416,16876,36638
Post_580,Twitter,#Gaming,Tweet,Canada,3605502,330152,54247,11566
Post_582,TikTok,#Viral,Live Stream,Canada,400059,255199,28172,10919
Post_585,YouTube,#Tech,Video,Canada,1880584,376512,76764,34314
Post_587,Instagram,#Education,Post,Germany,3839951,182675,74863,44718
Post_590,YouTube,#Gaming,Video,Japan,1180149,286650,1000,27032
Post_591,Instagram,#Comedy,Reel,Brazil,2002817,410588,47199,47032
Post_592,TikTok,#Viral,Live Stream,Australia,845246,313875,38766,37466
Post_593,YouTube,#Viral,Video,Germany,4066726,104299,51143,20911
Post_602,YouTube,#Dance,Live Stream,Germany,2888178,323173,11546,33894
Post_604,Twitter,#Education,Video,Germany,3812332,82371,33738,38074
Post_606,YouTube,#Viral,Video,Germany,3837180,476063,92607,6057
Post_613,Instagram,#Gaming,Live Stream,Australia,2912021,43497,37791,33220
Post_614,Twitter,#Music,Tweet,USA,1339049,471809,20645,768
Post_618,Instagram,#Gaming,Post,Canada,3053227,132150,49242,48892
Post_619,Instagram,#Comedy,Reel,Canada,3118393,322469,26532,6589
Post_620,Twitter,#Gaming,Tweet,Canada,2224167,488262,97601,31651
Post_621,Instagram,#Dance,Reel,India,165577,133518,14606,30419
Post_622,YouTube,#Fitness,Live Stream,USA,93786,193921,95093,14218
Post_624,YouTube,#Comedy,Live Stream,Japan,2589337,387181,90606,13429
Post_625,Twitter,#Viral,Video,India,4318612,93657,95512,16193
Post_639,YouTube,#Dance,Live Stream,Germany,1763209,466418,98204,42669
Post_641,Instagram,#Music,Post,Germany,4892331,362512,17927,27598
Post_642,Instagram,#Fashion,Live Stream,Japan,1525908,329931,54223,25867
Post_644,Instagram,#Fashion,Post,UK,3223480,57651,25366,32746
Post_649,YouTube,#Fitness,Live Stream,USA,3024496,297653,31120,39751
Post_654,YouTube,#Education,Video,UK,3191266,418734,68240,47069
Post_656,Twitter,#Viral,Video,Canada,31602,174512,12580,4018
Post_659,Instagram,#Fashion,Post,Germany,2231843,28171,73427,16948
Post_661,TikTok,#Fashion,Live Stream,Japan,2592123,339087,52787,19591
Post_662,Instagram,#Dance,Post,Germany,1156532,111161,31021,33505
Post_669,YouTube,#Gaming,Video,UK,709873,328596,75373,34177
Post_676,YouTube,#Dance,Live Stream,Canada,4999430,419635,51709,19836
Post_677,TikTok,#Fitness,Video,Australia,4678230,245665,56894,12110
Post_678,Instagram,#Fashion,Post,Japan,4446628,475059,19789,42455
Post_679,Instagram,#Music,Post,Brazil,3951368,249468,17548,43162
Post_682,Twitter,#Music,Video,Japan,2471029,482104,23418,37982
Post_683,Instagram,#Music,Reel,UK,2754301,439047,21451,5036
Post_685,Instagram,#Fitness,Reel,Australia,3471793,286422,67665,17667
Post_686,YouTube,#Education,Video,USA,1374677,479271,435,37576
Post_687,Twitter,#Education,Video,Australia,2143799,329574,47984,42889
Post_688,Instagram,#Comedy,Live Stream,India,4827016,404958,45968,18554
Post_690,Instagram,#Tech,Live Stream,Australia,490952,347826,72833,14756
Post_691,Instagram,#Music,Post,Canada,2180014,59373,52726,17442
Post_695,Instagram,#Dance,Live Stream,Germany,3444824,395141,90673,32852
Post_696,TikTok,#Fashion,Live Stream,Australia,4967000,458270,91709,5080
Post_699,Twitter,#Viral,Video,USA,3746244,256361,87201,24493
Post_701,Twitter,#Education,Tweet,Germany,67164,82891,40568,10151
Post_704,Twitter,#Fitness,Video,USA,963602,335585,45110,33791
Post_706,TikTok,#Fashion,Live Stream,Germany,1213710,468518,1746,24547
Post_709,YouTube,#Gaming,Video,Australia,4117819,430486,52313,22054
Post_712,Instagram,#Fashion,Live Stream,Japan,474320,437976,64949,13571
Post_714,YouTube,#Challenge,Video,USA,2871175,182884,54350,26546
Post_716,Instagram,#Challenge,Post,USA,1301582,36572,45582,45435
Post_717,Twitter,#Education,Tweet,Canada,780079,483875,969,40858
Post_718,TikTok,#Fashion,Live Stream,India,3698927,457765,94363,41251
Post_719,TikTok,#Tech,Video,Brazil,3741285,240172,97499,49443
Post_723,Instagram,#Music,Live Stream,USA,1780899,301959,74275,6214
Post_734,Twitter,#Music,Video,India,3975932,487279,1526,5159
Post_742,YouTube,#Fashion,Video,UK,4349698,136364,60484,26278
Post_748,YouTube,#Challenge,Live Stream,Brazil,2551155,88083,9939,37380
Post_751,Twitter,#Challenge,Video,USA,2335946,104895,75750,8793
Post_754,YouTube,#Tech,Video,Canada,3620429,22477,23839,25541
Post_757,Instagram,#Fitness,Post,Japan,1492331,319292,58566,8303
Post_761,Instagram,#Tech,Reel,Australia,4975026,113245,73842,39396
Post_764,YouTube,#Dance,Live Stream,Australia,648171,478099,45995,49019
Post_767,YouTube,#Comedy,Live Stream,Japan,4859049,71751,85452,33912
Post_768,Instagram,#Comedy,Reel,Brazil,1900224,443095,32294,12162
Post_771,Twitter,#Comedy,Video,Canada,3085596,53745,17472,45692
Post_780,YouTube,#Fitness,Live Stream,Brazil,4913424,4745,61101,19149
Post_781,Instagram,#Dance,Post,Japan,2392740,416629,25611,32521
Post_783,YouTube,#Education,Video,Canada,4244112,398086,94347,40064
Post_784,Instagram,#Education,Live Stream,Australia,1050122,497180,25187,19816
Post_785,Twitter,#Comedy,Video,USA,1812695,12283,160,40265
Post_789,YouTube,#Gaming,Live Stream,USA,4784336,150954,95314,41213
Post_797,Instagram,#Challenge,Post,Australia,2809655,296700,36554,5867
Post_798,Instagram,#Comedy,Post,India,3538605,454950,72220,19322
Post_800,YouTube,#Challenge,Live Stream,Canada,3704693,361357,70236,46913
Post_801,Instagram,#Dance,Reel,Canada,34258,99120,37011,3149
Post_806,Twitter,#Comedy,Tweet,Germany,609587,122051,77324,6873
Post_807,Instagram,#Gaming,Reel,Japan,1230975,481442,80512,3147
Post_809,YouTube,#Music,Video,Australia,4597793,395657,62238,7115
Post_812,YouTube,#Music,Video,Australia,2734965,261892,93169,46687
Post_813,Instagram,#Fitness,Post,Australia,998555,225198,8583,34716
Post_815,Twitter,#Fashion,Video,Canada,208326,267436,52230,45110
Post_816,TikTok,#Education,Live Stream,UK,2405842,40352,68819,8569
Post_817,Instagram,#Gaming,Reel,India,591094,112899,37633,24431
Post_819,Instagram,#Fitness,Live Stream,Japan,1365802,451503,91330,25121
Post_824,Instagram,#Viral,Reel,India,947923,487612,46542,10658
Post_825,Instagram,#Gaming,Reel,Japan,102983,341704,82374,8883
Post_828,TikTok,#Viral,Video,Japan,4157229,429729,97695,38020
Post_831,Twitter,#Fashion,Tweet,Brazil,160483,383250,33960,35029
Post_833,YouTube,#Fitness,Live Stream,Canada,111712,374446,85509,48663
Post_838,TikTok,#Music,Video,USA,2825065,400017,84642,9441
Post_841,Instagram,#Comedy,Post,Brazil,4754509,424316,30621,18374
Post_842,YouTube,#Challenge,Live Stream,India,4841421,339554,33055,48880
Post_843,Instagram,#Comedy,Reel,USA,3545758,365667,98281,27784
Post_844,TikTok,#Tech,Video,USA,4221248,87215,17939,14743
Post_846,Twitter,#Tech,Tweet,Brazil,1262231,240848,63648,46400
Post_849,Instagram,#Dance,Reel,UK,350307,4331,1623,26850
Post_851,Twitter,#Comedy,Video,Japan,1429838,18668,2497,24005
Post_853,TikTok,#Fitness,Video,UK,3185451,489381,98149,34483
Post_855,Twitter,#Comedy,Tweet,Germany,1049060,203673,96687,20847
Post_859,Instagram,#Challenge,Reel,Germany,4483470,117945,55358,30073
Post_863,Twitter,#Viral,Video,UK,2651655,457174,40321,47420
Post_864,TikTok,#Viral,Video,Canada,364719,189328,82087,44366
Post_866,Instagram,#Tech,Post,India,4363523,488878,8230,3369
Post_870,Twitter,#Education,Tweet,USA,960449,475480,27053,23747
Post_871,Instagram,#Music,Reel,Canada,1949651,348513,25769,15034
Post_874,TikTok,#Education,Video,Japan,4526401,302669,15559,21915
Post_877,Instagram,#Dance,Reel,Australia,3822658,16287,899,13106
Post_878,YouTube,#Fitness,Live Stream,Australia,2730742,380894,97358,46960
Post_882,Twitter,#Gaming,Tweet,UK,3481822,80175,68325,41815
Post_883,YouTube,#Fitness,Live Stream,Australia,1416870,368333,28809,5632
Post_885,Twitter,#Fashion,Video,Canada,3331697,221708,84660,10308
Post_887,Twitter,#Dance,Video,Australia,1835167,298712,16195,50
Post_890,Twitter,#Tech,Video,Brazil,4387952,260744,7764,10999
Post_897,Twitter,#Fashion,Video,Australia,3587110,51649,89478,30231
Post_903,TikTok,#Fashion,Live Stream,Australia,2118691,51266,15265,39734
Post_904,TikTok,#Fitness,Video,Australia,579923,487181,219,39465
Post_905,Instagram,#Education,Live Stream,Brazil,132001,419371,71316,39401
Post_907,Instagram,#Fitness,Live Stream,USA,2309871,288470,79217,46717
Post_912,TikTok,#Education,Video,Canada,4757293,394313,78165,31965
Post_913,Twitter,#Music,Video,Canada,4645686,446777,15642,26412
Post_916,TikTok,#Comedy,Live Stream,Japan,421767,153271,92874,4701
Post_917,Instagram,#Comedy,Reel,Canada,454350,156235,70705,24595
Post_919,Twitter,#Viral,Tweet,Canada,6651,22479,24947,11283
Post_930,Twitter,#Dance,Video,Australia,4587929,426359,52404,29047
Post_931,Instagram,#Education,Reel,Japan,4008179,455643,63634,37656
Post_933,TikTok,#Challenge,Live Stream,Germany,1360958,488748,52814,21553
Post_934,Twitter,#Viral,Video,Australia,2889543,52902,63885,24634
Post_935,Instagram,#Tech,Reel,Australia,1420653,40254,15175,14173
Post_937,YouTube,#Tech,Video,Japan,4389372,241611,14910,38606
Post_940,TikTok,#Challenge,Live Stream,Japan,4816608,10450,96249,3214
Post_941,Instagram,#Viral,Live Stream,UK,2989338,479456,99198,24250
Post_944,TikTok,#Viral,Live Stream,UK,1782713,79936,65474,33082
Post_949,Twitter,#Fitness,Video,Germany,1198783,102757,64448,45215
Post_953,Instagram,#Viral,Live Stream,Japan,507910,439117,23000,36313
Post_955,YouTube,#Education,Video,Germany,2851176,364420,46475,5976
Post_956,YouTube,#Dance,Live Stream,UK,3085394,447385,34168,6255
Post_957,YouTube,#Challenge,Video,Canada,598295,441991,68122,23592
Post_958,YouTube,#Tech,Video,Japan,323613,80041,23225,35210
Post_964,TikTok,#Fashion,Live Stream,UK,1518152,92660,60723,46917
Post_965,TikTok,#Fitness,Video,UK,3175553,292632,83336,2755
Post_967,Instagram,#Fitness,Reel,UK,1803252,274745,62197,45341
Post_969,Instagram,#Music,Live Stream,Canada,3154913,367384,25852,41170
Post_970,Twitter,#Comedy,Tweet,UK,1554285,452975,22542,29937
Post_971,Instagram,#Music,Live Stream,Germany,1907181,338676,59140,30282
Post_972,Instagram,#Dance,Reel,Australia,483039,282741,24926,37989
Post_977,Instagram,#Viral,Post,Canada,1444784,440354,41263,32270
Post_979,Twitter,#Music,Video,India,1803388,484300,31088,15886
Post_988,Instagram,#Dance,Live Stream,Australia,2352184,486228,59382,26190
Post_989,Twitter,#Comedy,Video,Brazil,4485225,201005,32520,47972
Post_992,YouTube,#Fitness,Live Stream,Australia,1740011,394641,25434,40742
Post_998,Instagram,#Tech,Reel,Brazil,4190005,84964,50369,19038
Post_1000,TikTok,#Challenge,Video,UK,203606,488156,57433,8556
Post_1010,Instagram,#Music,Live Stream,USA,3284675,375788,31851,4538
Post_1011,Instagram,#Challenge,Reel,USA,1558041,407000,95826,14793
Post_1015,Instagram,#Dance,Live Stream,Australia,251154,309987,21850,21949
Post_1019,Twitter,#Comedy,Tweet,UK,106972,206432,65280,9800
Post_1020,YouTube,#Comedy,Video,Canada,3312960,366286,22239,43842
Post_1027,TikTok,#Gaming,Video,Brazil,2260892,110179,66087,49262
Post_1028,TikTok,#Music,Live Stream,Germany,1130376,138976,12325,30626
Post_1029,Instagram,#Tech,Live Stream,USA,4650686,35344,74563,32695
Post_1031,Instagram,#Comedy,Live Stream,India,2350338,117930,10242,49338
Post_1036,Instagram,#Challenge,Reel,India,1939855,270361,16051,48568
Post_1037,Twitter,#Gaming,Tweet,India,3725275,304621,39355,21276
Post_1046,TikTok,#Fitness,Video,UK,794730,194026,93504,47841
Post_1048,TikTok,#Challenge,Video,USA,2418004,471089,47327,24701
Post_1054,YouTube,#Fitness,Live Stream,Japan,3213925,436365,48616,46800
Post_1057,TikTok,#Challenge,Live Stream,Brazil,3730939,8927,36583,33397
Post_1058,TikTok,#Education,Video,USA,1951149,367712,57910,28894
Post_1059,Instagram,#Tech,Live Stream,India,4031260,489680,10003,38423
Post_1063,YouTube,#Gaming,Video,Brazil,1775441,300600,92494,29780
Post_1065,Instagram,#Gaming,Reel,India,3147828,488798,11213,28108
Post_1067,Twitter,#Viral,Tweet,USA,4329212,314231,36820,38094
Post_1071,Twitter,#Viral,Tweet,Brazil,3380653,387333,43799,7391
Post_1072,Twitter,#Dance,Video,Brazil,4615991,4652,67987,39672
Post_1074,Instagram,#Comedy,Post,UK,1263647,322686,75202,21411
