Platform,Hashtag,Content_Type,Impressions,Views,Likes,Shares,Comments,Engagement_Rate
Instagram,Gaming,Video,138168,98665,15959,4405,3506,0.2419
Facebook,Gaming,Video,57137,52317,2665,1913,2627,0.1377
Twitter,Education,Text,136388,85726,9634,1516,5714,0.1967
Twitter,Beauty,Photo,103543,84731,5456,2658,552,0.1023
Instagram,Fitness,Video,101682,86001,11074,4637,6579,0.2592
Facebook,Challenge,Video,156946,62798,11369,2000,982,0.2285
Instagram,Challenge,Video,97669,91962,10390,3143,6089,0.2134
TikTok,Education,Video,115332,77967,16278,835,2896,0.2566
Instagram,Challenge,Video,125033,58021,4434,1388,1745,0.1304
Facebook,Challenge,Video,136040,94530,27880,17733,1866,0.5023
Twitter,Tech,Carrousel,139413,99578,15469,1431,2567,0.1955
Twitter,Beauty,Video,92519,74262,8103,3603,5203,0.2277
Facebook,Comedy,Video,119998,96734,12647,7823,747,0.2193
TikTok,Beauty,Video,74407,73082,7654,4326,87,0.1651
Facebook,Comedy,Carrousel,179915,68952,8690,937,8161,0.258
TikTok,Education,Video,177212,65737,10546,1277,4544,0.249
TikTok,Comedy,Video,145340,87216,15612,2642,4354,0.2592
Facebook,Beauty,Carrousel,138967,85980,11773,1523,6645,0.2319
TikTok,Education,Video,86716,44731,8853,377,2374,0.2594
Facebook,Comedy,Video,177818,65395,14814,12275,1358,0.435
Instagram,Music,Photo,165316,71904,7630,2290,2703,0.1756
TikTok,Beauty,Video,107548,86666,7202,142,6790,0.1631
Instagram,Fitness,Carrousel,138126,61595,8925,259,2584,0.1911
TikTok,Beauty,Video,111524,95443,11875,67,6149,0.1895
Instagram,Music,Carrousel,178875,97788,12217,9187,3161,0.2512
Facebook,Music,Carrousel,134549,97260,11471,4035,651,0.1661
TikTok,Challenge,Video,162146,90058,6756,2541,4530,0.1535
Instagram,Fitness,Video,77163,24883,27546,18548,2720,1.9617
Facebook,Tech,Photo,174155,73765,5940,5689,2390,0.19
Facebook,Comedy,Video,169166,78286,3436,2316,2347,0.1035
TikTok,Education,Video,100066,91402,7356,6853,4532,0.205
Twitter,Tech,Text,124596,80360,8863,3642,6261,0.2335
Facebook,Challenge,Text,117568,80309,10057,1637,7783,0.2425
Twitter,Tech,Carrousel,166106,94883,11760,4318,1051,0.1805
Twitter,Education,Text,110995,81555,9654,6954,2716,0.2369
Facebook,Challenge,Carrousel,132527,72494,11421,4526,268,0.2237
Instagram,Challenge,Video,148478,96025,17721,818,2969,0.224
Facebook,Music,Video,168842,66284,6093,9,5053,0.1683
Twitter,Beauty,Video,170827,52542,11698,10,196,0.2266
Instagram,Gaming,Video,102985,55901,9266,258,2807,0.2206
TikTok,Tech,Video,152428,95363,11989,3329,1448,0.1758
Instagram,Challenge,Video,126796,90560,7141,5112,5508,0.1961
TikTok,Fitness,Video,121864,91821,5484,2867,2423,0.1173
Twitter,Education,Carrousel,69362,33337,4783,684,845,0.1893
Facebook,Beauty,Text,130453,90224,4806,2303,4741,0.1313
Instagram,Music,Carrousel,146634,76272,10382,3356,4856,0.2438
Twitter,Comedy,Text,163256,95465,13636,1348,8893,0.2501
Twitter,Music,Photo,104032,87694,11324,2792,5896,0.2282
TikTok,Fitness,Video,162349,92641,11281,5345,1830,0.1992
Facebook,Beauty,Text,115640,53631,7727,2692,1713,0.2262
Instagram,Beauty,Photo,153035,82436,9972,8191,296,0.2239
Facebook,Tech,Text,148472,71609,7321,2972,420,0.1496
Twitter,Music,Text,166803,99283,9686,8610,1014,0.1945
Instagram,Education,Photo,130616,91114,15722,2501,5171,0.2568
Instagram,Gaming,Video,166650,90869,8380,4929,2997,0.1794
Twitter,Education,Carrousel,57747,40552,7103,298,86,0.1846
Twitter,Challenge,Photo,98387,73492,9247,6171,1178,0.2258
TikTok,Gaming,Video,103273,75294,9457,2517,5706,0.2348
Facebook,Tech,Video,121457,96522,7392,3354,3383,0.1464
Twitter,Music,Video,160987,95195,21682,10603,9904,0.4432
Instagram,Fitness,Video,165914,59521,12635,2221,333,0.2552
Facebook,Challenge,Carrousel,175634,92116,8910,2691,2676,0.155
Twitter,Gaming,Photo,179379,94784,11816,7192,1671,0.2182
Facebook,Education,Text,161743,92556,14051,6199,2872,0.2498
Twitter,Tech,Video,137128,92193,10453,5973,2622,0.2066
TikTok,Beauty,Video,146972,77410,8178,2426,5167,0.2037
Instagram,Gaming,Video,69422,66315,7601,4922,1629,0.2134
TikTok,Education,Video,139372,8088,9476,4882,2934,2.138
Facebook,Challenge,Text,140223,75564,7867,1307,2997,0.1611
Instagram,Education,Photo,119219,81018,9855,6033,3132,0.2348
Instagram,Gaming,Carrousel,99986,98530,7320,640,1855,0.0996
TikTok,Music,Video,156456,87873,11884,3519,6960,0.2545
Facebook,Gaming,Photo,178554,71929,4287,3712,3287,0.1569
Instagram,Challenge,Video,77095,72370,7809,4965,3520,0.2251
Instagram,Tech,Video,131202,94052,18985,450,859,0.2158
Facebook,Challenge,Video,132747,65857,7106,3134,5269,0.2355
Instagram,Gaming,Video,59978,55114,4919,304,1460,0.1213
Facebook,Challenge,Photo,170002,79675,15158,3822,1228,0.2536
Facebook,Comedy,Text,132727,48839,6498,1146,4560,0.2499
Instagram,Tech,Video,141286,89580,13333,2986,2955,0.2152
Instagram,Gaming,Video,121028,86642,7598,2048,2837,0.1441
Instagram,Music,Video,157671,97813,5280,3730,3354,0.1264
Twitter,Comedy,Video,101163,77383,7667,323,6773,0.1908
Twitter,Gaming,Photo,133588,97052,11745,2442,9871,0.2479
Twitter,Gaming,Photo,47109,40491,4118,486,3068,0.1895
TikTok,Beauty,Video,161942,96498,11375,2951,3718,0.187
Facebook,Tech,Photo,98937,89132,9731,8501,281,0.2077
Twitter,Gaming,Video,99767,52323,5885,5656,878,0.2374
TikTok,Music,Photo,89997,67058,5007,4709,2946,0.1888
Twitter,Music,Text,107542,82558,16877,364,2905,0.244
Facebook,Challenge,Carrousel,174596,99787,15165,345,4183,0.1974
Facebook,Music,Video,159571,98930,3597,3530,2835,0.1007
Twitter,Beauty,Text,113106,99806,13136,10307,250,0.2374
Twitter,Music,Text,161292,80588,6205,1332,1795,0.1158
Instagram,Fitness,Video,125406,85884,3374,703,1083,0.0601
Facebook,Music,Carrousel,141273,98269,8174,5137,3924,0.1754
Facebook,Beauty,Photo,128133,86815,11919,5754,4001,0.2497
Facebook,Comedy,Photo,152033,96743,15873,2234,3437,0.2227
TikTok,Tech,Video,133281,97791,12198,7163,674,0.2049
TikTok,Beauty,Video,155208,36370,4428,3560,885,0.244
Twitter,Beauty,Carrousel,162014,11266,9598,2754,1285,1.2105
Instagram,Fitness,Video,136768,89120,9307,6418,5881,0.2424
Instagram,Comedy,Photo,119281,82062,14185,1467,4224,0.2422
TikTok,Comedy,Video,98640,96336,11863,9888,2618,0.253
Facebook,Music,Text,107024,71409,8715,485,6724,0.223
TikTok,Tech,Video,117714,88513,7139,2216,5467,0.1675
Instagram,Comedy,Photo,106010,67608,14988,14119,8996,0.5636
Instagram,Challenge,Video,158599,88736,11795,1122,8201,0.238
TikTok,Music,Video,177758,82546,8974,934,1035,0.1326
Instagram,Comedy,Video,166572,73990,13776,1879,1240,0.2283
TikTok,Beauty,Photo,160287,71164,8075,5952,1428,0.2172
Facebook,Beauty,Photo,92816,61664,12808,2165,567,0.252
Facebook,Music,Photo,147637,30591,2295,2227,130,0.1521
Twitter,Gaming,Video,76925,67455,7234,4048,6222,0.2595
TikTok,Challenge,Video,83567,62668,10506,3637,1926,0.2564
Instagram,Gaming,Carrousel,141352,86430,7454,92,7029,0.1686
Facebook,Gaming,Text,107268,12760,15897,3048,9813,2.2538
Twitter,Beauty,Video,143606,89760,8729,6151,6824,0.2418
Facebook,Beauty,Carrousel,150640,99020,14265,7425,859,0.2277
TikTok,Comedy,Video,152072,94517,6025,1072,4409,0.1217
TikTok,Music,Video,119269,99422,13831,6920,2947,0.2384
Facebook,Education,Carrousel,179336,68260,5187,1497,2063,0.1281
Instagram,Tech,Carrousel,101460,67591,16003,210,1033,0.2552
Instagram,Education,Video,139808,44145,2227,1990,1742,0.135
Instagram,Fitness,Carrousel,86881,84289,8056,3627,394,0.1433
Instagram,Fitness,Video,169586,68674,5489,5176,4629,0.2227
Instagram,Fitness,Video,123273,94968,7052,2841,4525,0.1518
Instagram,Education,Video,147914,83390,9391,6349,2883,0.2233
TikTok,Music,Video,101767,93752,15566,7070,687,0.2488
Instagram,Tech,Photo,99147,92796,10641,7793,2213,0.2225
Instagram,Tech,Video,88986,82307,6714,5729,683,0.1595
Instagram,Education,Video,121162,96788,3493,2785,519,0.0702
Facebook,Beauty,Video,159597,99435,12721,7135,3970,0.2396
TikTok,Music,Video,120267,82425,15161,795,3067,0.2308
Instagram,Beauty,Video,55678,48940,10525,122,398,0.2257
Facebook,Comedy,Photo,55967,45677,7716,251,2647,0.2324
TikTok,Gaming,Video,65720,16181,18497,9935,1170,1.8294
TikTok,Tech,Photo,103854,95034,14018,6033,3180,0.2444
Facebook,Tech,Video,139200,99072,9144,7842,279,0.1743
TikTok,Comedy,Video,82803,78346,3531,1122,1938,0.0841
TikTok,Fitness,Video,176915,82765,11270,4306,3087,0.2255
TikTok,Beauty,Photo,112225,14947,5838,1594,4966,0.8295
Twitter,Music,Text,101771,65335,28187,1667,10773,0.6218
TikTok,Tech,Video,138643,99201,5296,2516,574,0.0845
Instagram,Comedy,Carrousel,161226,60939,4740,1380,1896,0.1315
TikTok,Music,Video,133090,92880,10110,5929,7901,0.2578
Twitter,Beauty,Video,101484,91487,9726,3613,2009,0.1678
TikTok,Challenge,Video,111316,75398,8336,6950,3079,0.2436
Instagram,Gaming,Video,85520,83432,9725,8086,2016,0.2376
Instagram,Beauty,Video,115721,97256,11944,3721,8801,0.2516
Facebook,Challenge,Text,132338,99589,13000,1571,3701,0.1835
Facebook,Comedy,Photo,121492,68945,10581,2962,3676,0.2497
Facebook,Tech,Text,117403,92029,5159,914,801,0.0747
Instagram,Tech,Video,102633,98117,23086,538,1145,0.2524
Twitter,Beauty,Photo,110642,90009,14134,3740,3803,0.2408
Facebook,Challenge,Text,147585,62951,5515,4621,459,0.1683
Twitter,Comedy,Text,143760,78291,3827,415,1155,0.0689
Instagram,Gaming,Video,78317,62931,8540,1875,5642,0.2552
Twitter,Beauty,Carrousel,106972,75457,13981,1831,538,0.2167
Instagram,Tech,Video,127575,37299,16564,335,10083,0.7234
TikTok,Beauty,Video,176710,38918,23124,17727,9997,1.3065
Instagram,Tech,Video,108488,44976,8380,193,2615,0.2488
Twitter,Beauty,Video,74548,53423,4727,1193,3021,0.1674
TikTok,Tech,Video,153180,68638,8805,5212,2145,0.2355
Facebook,Tech,Text,134840,97994,25599,4326,10774,0.4153
Facebook,Education,Text,129155,93593,10349,4991,7141,0.2402
Twitter,Education,Carrousel,171406,89524,4813,2361,4743,0.1331
TikTok,Beauty,Video,102894,61053,8771,6325,472,0.255
TikTok,Fitness,Video,114933,86259,11135,1566,5960,0.2163
TikTok,Fitness,Video,139479,71693,4807,2400,2202,0.1312
Twitter,Challenge,Video,160200,98924,5519,1211,1160,0.0798
Instagram,Music,Video,171827,72587,7530,4764,5089,0.2395
Twitter,Music,Carrousel,166093,95589,14691,1042,349,0.1682
Instagram,Beauty,Video,155046,80945,16350,9703,2166,0.3486
Facebook,Gaming,Text,122685,95435,8573,1750,3443,0.1442
Facebook,Education,Video,161248,62817,10275,478,4430,0.2417
TikTok,Challenge,Video,110808,69560,8712,1965,4086,0.2122
Twitter,Music,Video,152295,96645,20703,589,919,0.2298
Facebook,Comedy,Text,137480,39652,27778,662,7811,0.9142
TikTok,Education,Video,107397,54982,10469,1557,1983,0.2548
TikTok,Fitness,Video,157958,79532,7992,426,2655,0.1392
Facebook,Challenge,Video,134797,78185,7284,6439,1748,0.1979
Twitter,Comedy,Text,127562,62533,5740,2725,1412,0.1579
TikTok,Music,Video,148615,70999,9794,1141,6328,0.2431
Twitter,Challenge,Text,153179,34837,2664,2370,1278,0.1812
TikTok,Beauty,Video,62301,53652,23104,1554,4515,0.5437
Instagram,Tech,Video,120762,66853,4784,1705,1745,0.1232
Facebook,Music,Video,137530,97305,9965,4369,3025,0.1784
Instagram,Fitness,Video,170553,80774,7823,1807,6724,0.2025
Instagram,Beauty,Video,103870,96159,6100,3070,5674,0.1544
TikTok,Comedy,Video,71381,31377,23526,19864,6533,1.5911
Facebook,Education,Video,113216,97291,11305,11262,2544,0.2581
Facebook,Education,Photo,58206,28138,3154,980,509,0.165
TikTok,Gaming,Video,103868,97220,11034,1841,8049,0.2152
Twitter,Music,Text,140238,96198,5739,3957,5483,0.1578
TikTok,Challenge,Video,96601,92526,23189,14540,9575,0.5113
Facebook,Challenge,Carrousel,108767,54152,7034,4011,1960,0.2402
Facebook,Tech,Photo,144475,60753,9453,988,4687,0.249
Twitter,Education,Photo,131662,92136,8665,7567,4927,0.2296
TikTok,Gaming,Video,117698,98413,15790,3118,5178,0.2447
TikTok,Music,Video,124352,62222,20999,13253,7544,0.6717
TikTok,Tech,Video,139254,69283,8312,3145,3442,0.215
Instagram,Beauty,Video,171675,96679,24532,13,468,0.2587
Facebook,Beauty,Video,178016,65281,4445,3444,1166,0.1387
Facebook,Gaming,Text,134411,85424,10990,3725,2430,0.2007
TikTok,Challenge,Video,126885,95998,6187,5047,1237,0.1299
Twitter,Tech,Carrousel,96564,82657,10466,8065,2595,0.2556
Facebook,Music,Photo,128286,89476,11706,2842,3828,0.2054
Twitter,Music,Text,118735,87325,13103,7368,2146,0.259
Instagram,Gaming,Video,147247,94710,11116,1184,6565,0.1992
TikTok,Music,Video,87344,86501,13497,104,4790,0.2126
Twitter,Comedy,Carrousel,158728,23238,28998,15354,5768,2.1568
Facebook,Fitness,Photo,65805,43536,2711,2284,1096,0.1399
Facebook,Challenge,Text,99406,97950,8443,1497,22,0.1017
TikTok,Tech,Video,158370,80264,9714,4165,3054,0.211
Facebook,Beauty,Photo,87708,58871,8753,2186,4219,0.2575
Twitter,Comedy,Photo,116877,80778,12487,665,2221,0.1903
Instagram,Tech,Video,97312,90060,15136,396,4466,0.2221
Instagram,Comedy,Video,120715,84689,15331,612,4701,0.2438
Instagram,Beauty,Video,118012,80071,9216,3061,6956,0.2402
Twitter,Comedy,Carrousel,135072,82115,8026,2616,5614,0.198
TikTok,Comedy,Video,117229,85968,7360,360,6132,0.1611
Facebook,Comedy,Text,138778,65239,7484,4903,3515,0.2437
Twitter,Fitness,Text,94543,50393,5962,1773,2767,0.2084
Instagram,Music,Carrousel,87911,72572,20391,15298,5356,0.5656
Instagram,Beauty,Video,154022,99705,6402,2023,5796,0.1426
TikTok,Comedy,Video,162055,64267,10186,2329,1076,0.2115
Twitter,Tech,Video,167422,73589,7827,6587,4191,0.2528
Twitter,Gaming,Photo,162825,33215,3231,250,1279,0.1433
Instagram,Fitness,Video,176716,82989,9135,3377,104,0.152
Facebook,Beauty,Text,115515,95171,16041,4698,3133,0.2508
Facebook,Fitness,Video,105918,66048,7665,2540,6333,0.2504
Instagram,Music,Video,171202,96895,11931,1892,248,0.1452
Twitter,Gaming,Text,168265,96090,16032,5437,1325,0.2372
Twitter,Gaming,Text,129800,61231,9375,4747,1203,0.2503
Instagram,Music,Video,147376,96308,14798,2176,6158,0.2402
TikTok,Fitness,Video,85392,53953,26607,4842,10321,0.7742
TikTok,Music,Video,136228,59990,11882,745,1018,0.2275
Instagram,Challenge,Carrousel,106236,91468,14288,2386,3477,0.2203
Instagram,Fitness,Video,102485,88614,6592,3963,1596,0.1371
Twitter,Beauty,Photo,116339,71260,5252,4966,3500,0.1925
TikTok,Education,Video,152679,92788,12487,633,5239,0.1979
Instagram,Beauty,Photo,87212,81607,8727,638,6787,0.1979
Instagram,Education,Video,95679,90438,12070,4164,5817,0.2438
Facebook,Education,Carrousel,92496,76252,7533,5985,654,0.1859
Twitter,Education,Photo,147212,94400,11643,6474,4076,0.2351
Instagram,Education,Video,89169,85318,12256,995,3925,0.2013
TikTok,Challenge,Video,99376,96663,14045,1499,93,0.1618
Instagram,Music,Video,132602,88971,14342,7069,82,0.2416
Twitter,Comedy,Video,165019,73116,6926,3728,5892,0.2263
Facebook,Fitness,Video,79163,60246,6560,254,527,0.1219
Instagram,Music,Video,163444,15510,24612,15037,665,2.5992
TikTok,Education,Video,78490,71262,6439,1576,22,0.1128
Instagram,Challenge,Carrousel,113913,85052,8652,2654,6013,0.2036
Facebook,Music,Photo,87068,54382,11076,184,1935,0.2426
Instagram,Comedy,Video,166056,75302,8196,4157,4385,0.2223
Instagram,Tech,Video,148746,97476,10868,3254,3918,0.1851
Twitter,Fitness,Video,132056,83200,5539,648,5440,0.1397
Twitter,Comedy,Text,84208,38070,3068,1101,1778,0.1562
Facebook,Comedy,Photo,149504,36868,14227,7447,2860,0.6655
Twitter,Challenge,Photo,160517,90190,14452,7955,182,0.2505
Instagram,Challenge,Video,132871,62538,8265,354,668,0.1485
Twitter,Tech,Carrousel,124430,43548,22815,14683,5809,0.9945
Instagram,Comedy,Carrousel,124622,99325,9873,5978,2721,0.187
Instagram,Gaming,Video,143034,77731,16220,18,1520,0.2285
Twitter,Challenge,Text,105467,88368,13383,6843,1561,0.2465
TikTok,Comedy,Video,140038,55123,5690,4035,3148,0.2335
Facebook,Education,Video,105888,84760,13446,2387,4090,0.2351
Facebook,Tech,Carrousel,91299,78316,10389,1748,644,0.1632
TikTok,Beauty,Video,115547,87045,6768,2374,676,0.1128
Facebook,Tech,Text,143643,82046,10774,6184,1707,0.2275
Facebook,Challenge,Text,92742,11797,16612,954,8953,2.2479
Instagram,Fitness,Photo,139482,92249,14894,432,5761,0.2286
Facebook,Gaming,Video,172305,93449,16032,4244,46,0.2175
Twitter,Beauty,Carrousel,131418,98356,12544,5643,3970,0.2253
TikTok,Music,Video,96266,92346,9385,1326,7503,0.1972
Facebook,Tech,Photo,153340,96611,15169,6615,2913,0.2556
Twitter,Tech,Photo,81569,75219,8626,4735,491,0.1842
Twitter,Fitness,Video,178894,42699,4545,1342,3578,0.2217
Facebook,Music,Photo,120601,63386,12145,2653,581,0.2426
Facebook,Tech,Photo,175973,75926,9840,393,2441,0.1669
Facebook,Comedy,Text,167074,73470,11662,117,6789,0.2527
Facebook,Fitness,Carrousel,158185,79828,14579,4633,481,0.2467
Facebook,Music,Video,85629,65161,7392,3019,5336,0.2417
Facebook,Challenge,Text,125887,71152,5704,5120,3293,0.1984
Twitter,Comedy,Video,160097,88745,12049,3049,1815,0.1906
Twitter,Fitness,Video,151646,64949,6271,930,957,0.1256
Instagram,Gaming,Video,130450,94515,15978,1877,3106,0.2218
Twitter,Comedy,Photo,122294,84918,9379,869,5156,0.1814
Facebook,Education,Text,96337,27770,3758,2422,196,0.2296
TikTok,Beauty,Video,144138,82709,4962,675,4625,0.1241
TikTok,Education,Video,116305,76024,10362,8296,184,0.2478
Twitter,Music,Carrousel,143204,92563,7087,300,2560,0.1075
Instagram,Education,Video,44750,30386,3417,989,1361,0.1898
Instagram,Comedy,Carrousel,154030,61547,9022,1938,2790,0.2234
TikTok,Education,Video,176494,87473,13633,2631,6012,0.2547
Instagram,Education,Photo,121177,94461,9583,7226,746,0.1858
Instagram,Music,Video,57959,49229,7973,574,1685,0.2078
Instagram,Comedy,Video,155965,69514,26406,1078,7339,0.5009
TikTok,Music,Video,144411,93588,9403,1612,4119,0.1617
TikTok,Challenge,Video,172891,98901,14200,2293,198,0.1688
Instagram,Tech,Video,88866,74114,6504,3723,1907,0.1637
Facebook,Gaming,Photo,123621,93168,11284,1406,9340,0.2365
Instagram,Challenge,Video,88050,47794,4219,1182,1375,0.1418
Twitter,Beauty,Text,178526,96922,6498,3256,31,0.101
Facebook,Fitness,Photo,95501,68334,6608,737,4188,0.1688
TikTok,Beauty,Video,105883,96094,9440,6185,6530,0.2306
Instagram,Fitness,Photo,171887,85492,5469,1464,4517,0.1339
TikTok,Fitness,Video,155327,98856,19445,864,1416,0.2198
Instagram,Beauty,Video,154090,97305,9905,9354,5306,0.2525
Facebook,Education,Video,156528,76746,9925,6852,2683,0.2536
Instagram,Beauty,Video,119600,97353,8700,2823,8362,0.2043
Facebook,Tech,Carrousel,157241,31339,5250,357,878,0.2069
TikTok,Fitness,Video,161254,87416,9099,3453,2951,0.1773
Twitter,Fitness,Photo,173796,99033,12561,1854,8528,0.2317
Twitter,Comedy,Text,145362,80867,9558,704,8724,0.2348
Twitter,Education,Text,168433,82311,7064,6229,5921,0.2334
TikTok,Gaming,Video,177094,99278,14260,1039,7842,0.2331
Facebook,Beauty,Carrousel,162255,95151,13829,3948,4306,0.2321
Twitter,Challenge,Carrousel,155147,86892,9975,3494,6909,0.2345
Twitter,Tech,Video,158017,96191,9836,7148,3990,0.218
TikTok,Challenge,Photo,136653,84610,9861,3398,4064,0.2047
Facebook,Tech,Video,147820,95892,17615,2871,43,0.2141
Instagram,Tech,Video,179613,85552,6007,1256,2829,0.118
Instagram,Tech,Photo,152698,67746,2197,1919,679,0.0708
Facebook,Gaming,Video,142443,79114,9382,3086,8005,0.2588
Instagram,Tech,Video,149241,88132,7886,1506,7870,0.1959
TikTok,Fitness,Video,150783,81661,10296,3465,1109,0.1821
TikTok,Music,Video,177585,99564,12682,6580,6533,0.2591
Facebook,Challenge,Text,89501,88076,15616,3697,445,0.2243
Facebook,Tech,Text,148509,73616,9614,3923,3543,0.232
Instagram,Education,Video,172859,3994,6990,3544,2073,3.1565
Instagram,Gaming,Photo,148464,91492,15306,73,6168,0.2355
Facebook,Challenge,Text,120153,92852,4929,1057,4893,0.1172
Facebook,Fitness,Photo,125693,93469,5618,1948,1029,0.092
TikTok,Music,Video,122474,22244,27063,6804,1887,1.6074
TikTok,Education,Video,102030,97485,16268,3579,3197,0.2364
Facebook,Education,Text,121984,82886,11331,1806,8237,0.2579
Facebook,Education,Photo,97676,96642,11292,438,9562,0.2203
Instagram,Music,Video,73407,73059,3692,1005,2252,0.0951
Twitter,Gaming,Photo,80878,46030,7077,91,680,0.1705
Facebook,Fitness,Text,145054,67758,10388,1976,3157,0.2291
Instagram,Challenge,Video,94687,62075,9451,739,1339,0.1857
Instagram,Tech,Video,98971,73783,8466,8407,1708,0.2518
Instagram,Gaming,Video,104342,92245,11676,7047,4043,0.2468
Facebook,Gaming,Carrousel,62084,47386,3313,2401,3145,0.187
Twitter,Comedy,Carrousel,132983,99189,12953,303,933,0.1431
TikTok,Fitness,Video,98806,78063,13078,1314,5332,0.2527
TikTok,Gaming,Video,104364,61899,7169,4659,302,0.196
Instagram,Beauty,Video,164063,86369,11956,9046,1119,0.2561
TikTok,Gaming,Video,90781,86950,10524,2524,3944,0.1954
TikTok,Beauty,Video,49087,25091,26361,6905,6543,1.5866
Instagram,Tech,Video,102003,65062,5445,4954,4941,0.2358
Instagram,Fitness,Video,113014,52017,23755,8925,826,0.6441
Instagram,Music,Photo,165731,99179,7798,5225,3817,0.1698
Instagram,Tech,Photo,93313,71929,9120,1988,1265,0.172
Facebook,Challenge,Photo,161731,92800,14097,7193,313,0.2328
Twitter,Tech,Carrousel,165930,79723,17093,5268,1712,0.302
Instagram,Tech,Video,88080,85559,4950,4926,1697,0.1353
TikTok,Education,Video,123726,97087,16607,4776,1211,0.2327
TikTok,Music,Video,147548,91630,7974,5238,6184,0.2117
Instagram,Beauty,Carrousel,120516,80910,8328,3992,4404,0.2067
Twitter,Education,Carrousel,173557,87733,6967,639,5989,0.155
Instagram,Music,Video,92653,88417,4200,58,4134,0.0949
Instagram,Tech,Video,137099,93917,11679,4177,787,0.1772
Twitter,Comedy,Carrousel,105535,79887,9510,240,1353,0.139
Twitter,Fitness,Text,179463,92737,7448,14,1746,0.0993
Twitter,Music,Text,98790,79607,6996,1831,2032,0.1364
Facebook,Gaming,Video,134408,7800,2988,1425,358,0.6117
Twitter,Beauty,Photo,98635,97946,8223,7234,5269,0.2116
Facebook,Beauty,Carrousel,126803,62490,5028,2756,1464,0.148
Twitter,Challenge,Carrousel,110163,98666,11221,1554,7357,0.204
TikTok,Education,Video,83395,68435,5520,1352,2990,0.1441
Facebook,Comedy,Carrousel,141267,98689,9310,6851,8748,0.2524
Instagram,Education,Video,87334,63905,7259,4049,5120,0.2571
Twitter,Challenge,Text,113169,96416,11929,10120,2313,0.2527
Instagram,Comedy,Carrousel,110924,95064,14036,2424,7613,0.2532
Twitter,Education,Text,99670,72159,8720,7523,2498,0.2597
Instagram,Music,Photo,158236,84872,9652,6035,3885,0.2306
Facebook,Music,Carrousel,114080,60378,11406,760,735,0.2137
Twitter,Music,Text,103984,59992,5914,2557,3576,0.2008
Facebook,Fitness,Photo,108809,99529,16058,3063,6576,0.2582
Facebook,Music,Photo,99527,89829,11518,1187,6125,0.2096
TikTok,Comedy,Video,96080,64283,5318,3110,4977,0.2085
Instagram,Beauty,Video,160063,93516,7525,3005,414,0.117
Instagram,Beauty,Video,147622,40187,5567,3250,50,0.2206
TikTok,Beauty,Video,159775,91055,9711,7293,4123,0.232
